municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
1;Acebeda (La);Hombre;De 0 a 4 años;0
1;Acebeda (La);Hombre;De 5 a 9 años;1
1;Acebeda (La);Hombre;De 10 a 14 años;0
1;Acebeda (La);Hombre;De 15 a 19 años;1
1;Acebeda (La);Hombre;De 20 a 24 años;0
1;Acebeda (La);Hombre;De 25 a 29 años;1
1;Acebeda (La);Hombre;De 30 a 34 años;2
1;Acebeda (La);Hombre;De 35 a 39 años;0
1;Acebeda (La);Hombre;De 40 a 44 años;2
1;Acebeda (La);Hombre;De 45 a 49 años;2
1;Acebeda (La);Hombre;De 50 a 54 años;3
1;Acebeda (La);Hombre;De 55 a 59 años;4
1;Acebeda (La);Hombre;De 60 a 64 años;5
1;Acebeda (La);Hombre;De 65 a 69 años;5
1;Acebeda (La);Hombre;De 70 a 74 años;2
1;Acebeda (La);Hombre;De 75 a 79 años;3
1;Acebeda (La);Hombre;De 80 a 84 años;3
1;Acebeda (La);Hombre;De 85 a 89 años;2
1;Acebeda (La);Hombre;De 90 a 94 años;0
1;Acebeda (La);Hombre;De 95 a 99 años;1
1;Acebeda (La);Hombre;De 100 y más años;0
1;Acebeda (La);Mujer;De 0 a 4 años;1
1;Acebeda (La);Mujer;De 5 a 9 años;0
1;Acebeda (La);Mujer;De 10 a 14 años;0
1;Acebeda (La);Mujer;De 15 a 19 años;1
1;Acebeda (La);Mujer;De 20 a 24 años;0
1;Acebeda (La);Mujer;De 25 a 29 años;1
1;Acebeda (La);Mujer;De 30 a 34 años;0
1;Acebeda (La);Mujer;De 35 a 39 años;0
1;Acebeda (La);Mujer;De 40 a 44 años;2
1;Acebeda (La);Mujer;De 45 a 49 años;2
1;Acebeda (La);Mujer;De 50 a 54 años;4
1;Acebeda (La);Mujer;De 55 a 59 años;4
1;Acebeda (La);Mujer;De 60 a 64 años;2
1;Acebeda (La);Mujer;De 65 a 69 años;5
1;Acebeda (La);Mujer;De 70 a 74 años;0
1;Acebeda (La);Mujer;De 75 a 79 años;2
1;Acebeda (La);Mujer;De 80 a 84 años;1
1;Acebeda (La);Mujer;De 85 a 89 años;2
1;Acebeda (La);Mujer;De 90 a 94 años;2
1;Acebeda (La);Mujer;De 95 a 99 años;0
1;Acebeda (La);Mujer;De 100 y más años;0
2;Ajalvir;Hombre;De 0 a 4 años;101
2;Ajalvir;Hombre;De 5 a 9 años;153
2;Ajalvir;Hombre;De 10 a 14 años;156
2;Ajalvir;Hombre;De 15 a 19 años;95
2;Ajalvir;Hombre;De 20 a 24 años;102
2;Ajalvir;Hombre;De 25 a 29 años;124
2;Ajalvir;Hombre;De 30 a 34 años;201
2;Ajalvir;Hombre;De 35 a 39 años;225
2;Ajalvir;Hombre;De 40 a 44 años;294
2;Ajalvir;Hombre;De 45 a 49 años;243
2;Ajalvir;Hombre;De 50 a 54 años;194
2;Ajalvir;Hombre;De 55 a 59 años;135
2;Ajalvir;Hombre;De 60 a 64 años;95
2;Ajalvir;Hombre;De 65 a 69 años;69
2;Ajalvir;Hombre;De 70 a 74 años;53
2;Ajalvir;Hombre;De 75 a 79 años;32
2;Ajalvir;Hombre;De 80 a 84 años;33
2;Ajalvir;Hombre;De 85 a 89 años;15
2;Ajalvir;Hombre;De 90 a 94 años;7
2;Ajalvir;Hombre;De 95 a 99 años;0
2;Ajalvir;Hombre;De 100 y más años;0
2;Ajalvir;Mujer;De 0 a 4 años;119
2;Ajalvir;Mujer;De 5 a 9 años;132
2;Ajalvir;Mujer;De 10 a 14 años;133
2;Ajalvir;Mujer;De 15 a 19 años;99
2;Ajalvir;Mujer;De 20 a 24 años;84
2;Ajalvir;Mujer;De 25 a 29 años;124
2;Ajalvir;Mujer;De 30 a 34 años;187
2;Ajalvir;Mujer;De 35 a 39 años;228
2;Ajalvir;Mujer;De 40 a 44 años;272
2;Ajalvir;Mujer;De 45 a 49 años;183
2;Ajalvir;Mujer;De 50 a 54 años;158
2;Ajalvir;Mujer;De 55 a 59 años;98
2;Ajalvir;Mujer;De 60 a 64 años;67
