municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
1,Acebeda (La),0,De 0 a 4 años,Hombre
1,Acebeda (La),1,De 5 a 9 años,Hombre
1,Acebeda (La),0,De 10 a 14 años,Hombre
1,Acebeda (La),1,De 15 a 19 años,Hombre
1,Acebeda (La),0,De 20 a 24 años,Hombre
1,Acebeda (La),1,De 25 a 29 años,Hombre
1,Acebeda (La),2,De 30 a 34 años,Hombre
1,Acebeda (La),0,De 35 a 39 años,Hombre
1,Acebeda (La),2,De 40 a 44 años,Hombre
1,Acebeda (La),2,De 45 a 49 años,Hombre
1,Acebeda (La),3,De 50 a 54 años,Hombre
1,Acebeda (La),4,De 55 a 59 años,Hombre
1,Acebeda (La),5,De 60 a 64 años,Hombre
1,Acebeda (La),5,De 65 a 69 años,Hombre
1,Acebeda (La),2,De 70 a 74 años,Hombre
1,Acebeda (La),3,De 75 a 79 años,Hombre
1,Acebeda (La),3,De 80 a 84 años,Hombre
1,Acebeda (La),2,De 85 a 89 años,Hombre
1,Acebeda (La),0,De 90 a 94 años,Hombre
1,Acebeda (La),1,De 95 a 99 años,Hombre
1,Acebeda (La),0,De 100 y más años,Hombre
1,Acebeda (La),1,De 0 a 4 años,Mujer
1,Acebeda (La),0,De 5 a 9 años,Mujer
1,Acebeda (La),0,De 10 a 14 años,Mujer
1,Acebeda (La),1,De 15 a 19 años,Mujer
1,Acebeda (La),0,De 20 a 24 años,Mujer
1,Acebeda (La),1,De 25 a 29 años,Mujer
1,Acebeda (La),0,De 30 a 34 años,Mujer
1,Acebeda (La),0,De 35 a 39 años,Mujer
1,Acebeda (La),2,De 40 a 44 años,Mujer
1,Acebeda (La),2,De 45 a 49 años,Mujer
1,Acebeda (La),4,De 50 a 54 años,Mujer
1,Acebeda (La),4,De 55 a 59 años,Mujer
1,Acebeda (La),2,De 60 a 64 años,Mujer
1,Acebeda (La),5,De 65 a 69 años,Mujer
1,Acebeda (La),0,De 70 a 74 años,Mujer
1,Acebeda (La),2,De 75 a 79 años,Mujer
1,Acebeda (La),1,De 80 a 84 años,Mujer
1,Acebeda (La),2,De 85 a 89 años,Mujer
1,Acebeda (La),2,De 90 a 94 años,Mujer
1,Acebeda (La),0,De 95 a 99 años,Mujer
1,Acebeda (La),0,De 100 y más años,Mujer
2,Ajalvir,101,De 0 a 4 años,Hombre
2,Ajalvir,153,De 5 a 9 años,Hombre
2,Ajalvir,156,De 10 a 14 años,Hombre
2,Ajalvir,95,De 15 a 19 años,Hombre
2,Ajalvir,102,De 20 a 24 años,Hombre
2,Ajalvir,124,De 25 a 29 años,Hombre
2,Ajalvir,201,De 30 a 34 años,Hombre
2,Ajalvir,225,De 35 a 39 años,Hombre
2,Ajalvir,294,De 40 a 44 años,Hombre
2,Ajalvir,243,De 45 a 49 años,Hombre
2,Ajalvir,194,De 50 a 54 años,Hombre
2,Ajalvir,135,De 55 a 59 años,Hombre
2,Ajalvir,95,De 60 a 64 años,Hombre
2,Ajalvir,69,De 65 a 69 años,Hombre
2,Ajalvir,53,De 70 a 74 años,Hombre
2,Ajalvir,32,De 75 a 79 años,Hombre
2,Ajalvir,33,De 80 a 84 años,Hombre
2,Ajalvir,15,De 85 a 89 años,Hombre
2,Ajalvir,7,De 90 a 94 años,Hombre
2,Ajalvir,0,De 95 a 99 años,Hombre
2,Ajalvir,0,De 100 y más años,Hombre
2,Ajalvir,119,De 0 a 4 años,Mujer
2,Ajalvir,132,De 5 a 9 años,Mujer
2,Ajalvir,133,De 10 a 14 años,Mujer
2,Ajalvir,99,De 15 a 19 años,Mujer
2,Ajalvir,84,De 20 a 24 años,Mujer
2,Ajalvir,124,De 25 a 29 años,Mujer
2,Ajalvir,187,De 30 a 34 años,Mujer
2,Ajalvir,228,De 35 a 39 años,Mujer
2,Ajalvir,272,De 40 a 44 años,Mujer
2,Ajalvir,183,De 45 a 49 años,Mujer
2,Ajalvir,158,De 50 a 54 años,Mujer
2,Ajalvir,98,De 55 a 59 años,Mujer
2,Ajalvir,67,De 60 a 64 años,Mujer
2,Ajalvir,67,De 65 a 69 años,Mujer
2,Ajalvir,53,De 70 a 74 años,Mujer
2,Ajalvir,40,De 75 a 79 años,Mujer
2,Ajalvir,35,De 80 a 84 años,Mujer
2,Ajalvir,28,De 85 a 89 años,Mujer
2,Ajalvir,14,De 90 a 94 años,Mujer
2,Ajalvir,7,De 95 a 99 años,Mujer
2,Ajalvir,0,De 100 y más años,Mujer
3,Alameda del Valle,3,De 0 a 4 años,Hombre
3,Alameda del Valle,2,De 5 a 9 años,Hombre
3,Alameda del Valle,3,De 10 a 14 años,Hombre
3,Alameda del Valle,5,De 15 a 19 años,Hombre
3,Alameda del Valle,3,De 20 a 24 años,Hombre
3,Alameda del Valle,2,De 25 a 29 años,Hombre
3,Alameda del Valle,3,De 30 a 34 años,Hombre
3,Alameda del Valle,4,De 35 a 39 años,Hombre
3,Alameda del Valle,5,De 40 a 44 años,Hombre
3,Alameda del Valle,14,De 45 a 49 años,Hombre
3,Alameda del Valle,20,De 50 a 54 años,Hombre
3,Alameda del Valle,12,De 55 a 59 años,Hombre
3,Alameda del Valle,7,De 60 a 64 años,Hombre
3,Alameda del Valle,4,De 65 a 69 años,Hombre
3,Alameda del Valle,10,De 70 a 74 años,Hombre
3,Alameda del Valle,8,De 75 a 79 años,Hombre
3,Alameda del Valle,4,De 80 a 84 años,Hombre
3,Alameda del Valle,5,De 85 a 89 años,Hombre
3,Alameda del Valle,2,De 90 a 94 años,Hombre
3,Alameda del Valle,1,De 95 a 99 años,Hombre
